01-00,02-00,02-01,10-00,11-01,11-10,12-02,12-10,12-11,20-00,20-10,21-01,21-11,21-20,22-02,22-12,22-20,22-21
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5833333333333333,1.0
1.5833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5208333333333333,1.0,1.5833333333333333,1.0
1.5833333333333333,1.0,1.0,1.5833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5208333333333333,1.5208333333333333,1.5833333333333333,1.0
2.1249999999999996,1.0,1.0,1.5833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5208333333333333,1.5208333333333333,1.5833333333333333,1.5208333333333333
2.1249999999999996,1.0,1.0,1.5833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1484374999999996,1.5208333333333333,1.5833333333333333,1.5208333333333333
2.1249999999999996,1.0,1.0,1.5833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7249999999999996,1.5208333333333333,1.5833333333333333,1.5208333333333333
2.1249999999999996,1.0,1.0,1.5833333333333333,1.0,1.5833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7249999999999996,2.0624999999999996,1.5833333333333333,1.5208333333333333
2.1249999999999996,1.0,1.0,1.5833333333333333,1.0,1.5833333333333333,1.0,1.0,1.0,1.5833333333333333,1.0,1.0,1.0,1.0,2.7249999999999996,2.0624999999999996,1.5833333333333333,2.0312499999999996
2.1249999999999996,1.0,1.0,2.1249999999999996,1.0,1.5833333333333333,1.0,1.0,1.0,1.5833333333333333,1.0,1.0,1.0,1.0,2.7249999999999996,2.0624999999999996,2.1484374999999996,2.0312499999999996
2.6499999999999995,1.0,1.0,2.1249999999999996,1.0,1.5833333333333333,1.0,1.0,1.0,1.5833333333333333,1.0,1.0,1.0,1.0,3.2916666666666665,2.0624999999999996,2.1484374999999996,2.0312499999999996
2.6499999999999995,1.0,1.0,2.1249999999999996,1.0,1.5833333333333333,1.0,1.0,1.0,1.5833333333333333,1.5833333333333333,1.0,1.0,1.0,3.2916666666666665,2.0624999999999996,2.1484374999999996,2.5874999999999995
2.6499999999999995,1.0,1.0,2.1249999999999996,1.0,2.1249999999999996,1.0,1.0,1.0,1.5833333333333333,1.5833333333333333,1.0,1.0,1.0,3.2916666666666665,2.0624999999999996,2.1484374999999996,3.1249999999999996
3.166666666666666,1.0,1.0,2.1249999999999996,1.0,2.1249999999999996,1.0,1.0,1.0,1.5833333333333333,1.5833333333333333,1.0,1.0,1.0,3.839285714285714,2.0624999999999996,2.1484374999999996,3.1249999999999996
3.678571428571428,1.0,1.0,2.1249999999999996,1.0,2.1249999999999996,1.0,1.0,1.0,1.5833333333333333,1.5833333333333333,1.0,1.0,1.0,3.839285714285714,2.0624999999999996,2.1484374999999996,3.651785714285714
3.678571428571428,1.0,1.0,2.6499999999999995,1.0,2.1249999999999996,1.0,1.0,1.0,1.5833333333333333,1.5833333333333333,1.0,1.0,1.0,3.839285714285714,2.5874999999999995,2.1484374999999996,3.651785714285714
3.678571428571428,1.0,1.0,2.6499999999999995,1.0,2.1249999999999996,1.0,1.0,1.0,1.5833333333333333,1.5833333333333333,1.0,1.0,1.0,4.433593749999999,2.5874999999999995,2.1484374999999996,3.651785714285714
3.678571428571428,1.0,1.0,2.6499999999999995,1.0,2.6499999999999995,1.0,1.0,1.0,1.5833333333333333,1.5833333333333333,1.0,1.0,1.0,4.433593749999999,2.5874999999999995,2.1484374999999996,4.187499999999999
3.678571428571428,1.0,1.0,2.6499999999999995,1.0,3.166666666666666,1.0,1.0,1.0,1.5833333333333333,1.5833333333333333,1.0,1.0,1.0,4.433593749999999,2.5874999999999995,2.1484374999999996,4.715277777777777
3.678571428571428,1.0,1.0,3.166666666666666,1.0,3.166666666666666,1.0,1.0,1.0,1.5833333333333333,1.5833333333333333,1.0,1.0,1.0,4.433593749999999,3.104166666666666,2.1484374999999996,4.715277777777777
3.678571428571428,1.0,1.5833333333333333,3.166666666666666,1.0,3.166666666666666,1.0,1.0,1.0,1.5833333333333333,1.5833333333333333,1.0,1.0,1.0,4.433593749999999,3.6517857142857135,2.1484374999999996,4.715277777777777
4.187499999999999,1.0,1.5833333333333333,3.166666666666666,1.0,3.166666666666666,1.0,1.0,1.0,1.5833333333333333,1.5833333333333333,1.0,1.0,1.0,4.433593749999999,3.6517857142857135,2.1484374999999996,5.249999999999999
