01-00,02-00,02-01,10-00,11-01,11-10,12-02,12-10,12-11,20-00,20-10,21-01,21-11,21-20,22-02,22-12,22-20,22-21
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.77,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.77,1.0,1.0,1.0,1.77,1.0,1.0,1.7187000000000001
1.0,1.0,1.0,1.0,1.77,1.0,1.0,1.0,1.0,1.0,1.77,1.0,1.0,1.0,1.77,1.7187000000000001,1.0,1.7187000000000001
1.0,1.0,1.0,1.77,1.77,1.0,1.0,1.0,1.0,1.0,1.77,1.0,1.0,1.0,1.77,1.7187000000000001,1.7187000000000001,1.7187000000000001
1.77,1.0,1.0,1.77,1.77,1.0,1.0,1.0,1.0,1.0,1.77,1.0,1.0,1.0,2.7320375,1.7187000000000001,1.7187000000000001,1.7187000000000001
1.77,1.0,1.0,1.77,1.77,1.0,1.0,1.0,1.0,1.0,2.4050000000000002,1.0,1.0,1.0,2.7320375,1.7187000000000001,1.7187000000000001,2.32805
1.77,1.0,1.0,2.4050000000000002,1.77,1.0,1.0,1.0,1.0,1.0,2.4050000000000002,1.0,1.0,1.0,2.7320375,1.7187000000000001,2.32805,2.32805
1.77,1.0,1.0,2.4050000000000002,2.4050000000000002,1.0,1.0,1.0,1.0,1.0,2.4050000000000002,1.0,1.0,1.0,2.7320375,2.32805,2.32805,2.32805
1.77,1.0,1.0,2.986,2.4050000000000002,1.0,1.0,1.0,1.0,1.0,2.4050000000000002,1.0,1.0,1.0,2.7320375,2.32805,2.89366,2.32805
1.77,1.0,1.0,2.986,2.4050000000000002,1.0,1.0,1.0,1.0,1.0,2.4050000000000002,1.0,1.0,1.0,2.7320375,2.32805,4.194075000000001,2.32805
1.77,1.0,1.0,2.986,2.4050000000000002,1.0,1.0,1.0,1.0,1.0,2.4050000000000002,1.0,1.0,1.0,3.5400400000000003,2.32805,4.194075000000001,2.32805
1.77,1.0,1.0,3.54,2.4050000000000002,1.0,1.0,1.0,1.0,1.0,2.4050000000000002,1.0,1.0,1.0,3.5400400000000003,2.32805,4.826085714285715,2.32805
1.77,1.0,1.0,3.54,2.4050000000000002,1.0,1.0,1.0,1.0,1.0,2.4050000000000002,1.0,1.0,1.0,3.5400400000000003,2.32805,5.992600000000001,2.32805
1.77,1.0,1.0,3.54,2.4050000000000002,1.0,1.0,1.0,1.0,1.0,2.4050000000000002,1.0,1.0,1.0,3.5400400000000003,2.32805,7.011000000000001,2.32805
2.4050000000000002,1.0,1.0,3.54,2.4050000000000002,1.0,1.0,1.0,1.0,1.0,2.4050000000000002,1.0,1.0,1.0,4.4634,2.32805,7.011000000000001,2.32805
